page_number,topic,text,confidence,element_count,text_length,matched_keywords,document_filename,document_type,total_pages
34,STEEL SHALL CONFORM TO THE FOLLOWING GRADES,"1. CONCRETE SHALL CONFORM WITH THE REQUIREMENTS SET FORTH IN A.C.I. 301 AND SHALL HAVE A 28-DAY COMPRESSIVE STRENGTH AND DENSITY,",0.940940690325717,4114,129,['DESIGN CRITERIA'],GDCCC Drawings.pdf,general_construction_document,106
34,IN ACCORDANCE WITH THE FOLLOWING,"11. REFER TO ARCHITECTURAL DRAWINGS FOR CONCRETE FINISHES. WHERE FINISH IS NOT SPECIFIED,",0.940940690325717,4114,89,['DESIGN CRITERIA'],GDCCC Drawings.pdf,general_construction_document,106
34,ALL WIDE FLANGE (U.N.O.),"A992 GRADE 50 (Fy=50) CONFORM TO REQUIREMENTS OF 301. ALL CHANNEL, ANGLE, BASE PLATES,",0.940940690325717,4114,86,['DESIGN CRITERIA'],GDCCC Drawings.pdf,general_construction_document,106
34,CONNECTION. PLATES (U.N.O.),A36 (Fy=36) IBC 2018,0.940940690325717,4114,20,['DESIGN CRITERIA'],GDCCC Drawings.pdf,general_construction_document,106
34,STRUCTURAL PIPE,"A53 (Fy=35) 12. MECHANICAL, PLUMBING, AND ELECTRICAL DRAWINGS SHALL BE REFERRED TO FOR DRAINS, SLEEVES,",0.940940690325717,4114,103,['DESIGN CRITERIA'],GDCCC Drawings.pdf,general_construction_document,106
34,B STRUCTURAL HSS RECTANGULAR TUBE,"A500 GRADE (Fy=46) OUTLET BOXES, CONDUIT, ANCHORS,",0.940940690325717,4114,50,['DESIGN CRITERIA'],GDCCC Drawings.pdf,general_construction_document,106
34,STRUCTURAL HSS ROUND TUBE,A500 GRADE (Fy=42),0.940940690325717,4114,18,['DESIGN CRITERIA'],GDCCC Drawings.pdf,general_construction_document,106
34,ITEMS. FLOOR LIVE LOAD,"150 PSF ALL STRUCTURAL STEEL SHALL BE DETAILED, FABRICATED AND ERECTED IN ACCORDANCE WITH THE LATEST z 13. REFER TO MECHANICAL DRAWINGS FOR HOUSEKEEPING PADS AND INERTIA BASES AT MECHANICAL = = |) EDITION OF THE A.I.S.C. CODE OF STANDARD PRACTICE, EXCEPT AS MODIFIED IN THESE NOTES AND THE PROJECT |",0.940940690325717,4114,299,['DESIGN CRITERIA'],GDCCC Drawings.pdf,general_construction_document,106
34,S) EQUIPMENT. ROOF LIVE LOAD,"20 P.S.F. SPECIFICATIONS. x & ES ey G6 14. PROVIDE CONCRETE EQUIPMENT PADS,",0.940940690325717,4114,75,['DESIGN CRITERIA'],GDCCC Drawings.pdf,general_construction_document,106
34,INERTIA BASES AND CURBS AS NOTED ELSEWHERE IN SNOW LOADS,"CONNECTIONS MAY BE BOLTED OR WELDED. THE FABRICATOR IS RESPONSIBLE FOR THE DESIGN OF 2a o x = z= CONTRACT DOCUMENTS. UNLESS NOTED, DOWEL PADS WITH HOOKED #4 0'-6"" PROJECTING 3"" FROM x be CONNECTIONS NOT DESIGNED ON THE DRAWINGS. GENERALLY, CONNECTIONS SHOWN ON THE STRUCTURAL. & = = Ss CONCRETE BELOW AT18""0.C. EACH WAY. REINFORCE PADS WITH #4@18 EACH WAY, TOP AND BOTTOM, 5 SNOW LOAD 0 DRAWINGS ARE SCHEMATIC AND ARE ONLY INTENDED TO SHOW THE RELATIONSHIP OF MEMBERS CONNECTED. INTENDED USE w a g UNLESS OTHERWISEREQUIRED BY EQUIPMENT ANCHORAGE DESIGN. = im 25 GROUND SNOW LOAD Pg 44. ANY CONNECTION THAT IS NOT SHOWN OR IS NOT COMPLETELY DETAILED ON THE STRUCTURAL DRAWINGS < ir = a Oo FLAT ROOF SNOW LOAD SHALL BE DESIGNED BY A PROFESSIONAL ENGINEER, REGISTERED IN THE STATE OF THE PROJECT, RETAINED BY =} < = 5 15. REFER TO MECHANICAL DRAWINGS FOR UNDERFLOOR AND PERIMETER FOUNDATION DRAINS. 23 32",0.940940690325717,4114,901,['DESIGN CRITERIA'],GDCCC Drawings.pdf,general_construction_document,106
