topic,sections_count,total_text_length,avg_text_length,avg_confidence,pages
GIRDERS AND COLUMNS (TO TIES OR STIRRUPS),1,1986,1986.0,0.941,[34]
IS PROHIBITED WITHOUT WRITTEN COEFFICIENT OF SLIDING FRICTION,1,1900,1900.0,0.941,[34]
ADJUST FIREPROOFING THICKNESS BASED ON MEMBER SIZES. SEE TABLE NOTES,1,1808,1808.0,0.941,[34]
THE CONTRACTOR SHALL INFORM THE ARCHITECT IN WRITING OF ANY DEVIATION CONCRETE NOTES (CONTINUED),1,955,955.0,0.941,[34]
INERTIA BASES AND CURBS AS NOTED ELSEWHERE IN SNOW LOADS,1,901,901.0,0.941,[34]
S OPTION. MISCELLANEOUS,1,843,843.0,0.941,[34]
DOWEL EMBEDMENT,1,836,836.0,0.941,[34]
MASONRY,1,807,807.0,0.941,[34]
AND AT,1,761,761.0,0.941,[34]
C.F. PUBLISHED BY THE AMERICAN WELDING SOCIETY. ELECTRODES FOR WELDING SHALL COMPLY WITH THE REINFORCING,1,688,688.0,0.941,[34]
PROVIDE BOND BEAMS AT,1,679,679.0,0.941,[34]
CEMENT. CONCRETE MASONRY,1,537,537.0,0.941,[34]
BOLTS MAY BE USED WHERE INDICATED ON THE DRAWINGS. CONCRETE PLACEMENT. THE GEOTECHNICAL ENGINEER SHALL BE THE SOLE JUDGE AS TO. B. CONCRETE MASONRY UNITS,1,532,532.0,0.941,[34]
INCHES. NOMINAL WALL VERTICAL HORIZONTAL JOINT BOND BEAM DEFERRED SUBMITTALS,1,489,489.0,0.941,[34]
HYDRATED LIME REQUIRED A B A B A B CLASS BAR B. ALL FILLET WELDS,1,448,448.0,0.941,[34]
DATE,1,370,370.0,0.941,[34]
UNFORMED SURFACE IN CONTACT WITH THE GROUND,1,334,334.0,0.941,[34]
B. MOMENT CONNECTIONS INDICATED ON THE DRAWINGS THUS,1,316,316.0,0.941,[34]
ITEMS. FLOOR LIVE LOAD,1,299,299.0,0.941,[34]
AT STACK BOND LOCATIONS. G. DOWEL EMBEDMENT,1,256,256.0,0.941,[34]
UNLESS NOTED OTHERWISE,1,249,249.0,0.941,[34]
PROVIDE STANDARD HOOKS ON BARS TERMINATING INTO MASONRY FACE,1,220,220.0,0.941,[34]
WELDED CONNECTIONS,1,217,217.0,0.941,[34]
